ID,LID,Width,Color,type,LinkID
228,228,0.2,W,0,3
229,229,0.2,W,0,4
230,230,0.2,W,0,5
231,231,0.2,W,0,6
232,232,0.2,W,0,7
233,233,0.2,W,0,8
234,234,0.2,W,0,9
235,235,0.2,W,0,10
236,236,0.2,W,0,11
237,237,0.2,W,0,12
238,238,0.2,W,0,13
239,239,0.2,W,0,14
240,240,0.2,W,0,15
241,241,0.2,W,0,16
242,242,0.2,W,0,17
243,243,0.2,W,0,18
244,244,0.2,W,0,19
245,245,0.2,W,0,20
246,246,0.2,W,0,21
247,247,0.2,W,0,22
248,248,0.2,W,0,23
249,249,0.2,W,0,24
250,250,0.2,W,0,25
251,251,0.2,W,0,26
252,252,0.2,W,0,27
253,253,0.2,W,0,28
254,254,0.2,W,0,29
255,255,0.2,W,0,30
256,256,0.2,W,0,31
257,257,0.2,W,0,32
258,258,0.2,W,0,33
259,259,0.2,W,0,34
260,260,0.2,W,0,35
261,261,0.2,W,0,36
262,262,0.2,W,0,37
263,263,0.2,W,0,38
264,264,0.2,W,0,39
265,265,0.2,W,0,40
266,266,0.2,W,0,41
267,267,0.2,W,0,42
268,268,0.2,W,0,43
269,269,0.2,W,0,44
270,270,0.2,W,0,45
271,271,0.2,W,0,46
272,272,0.2,W,0,46
273,273,0.2,W,0,47
274,274,0.2,W,0,49
275,275,0.2,W,0,51
276,276,0.2,W,0,52
277,277,0.2,W,0,54
278,278,0.2,W,0,55
279,279,0.2,W,0,56
280,280,0.2,W,0,57
281,281,0.2,W,0,58
282,282,0.2,W,0,59
283,283,0.2,W,0,61
284,284,0.2,W,0,62
285,285,0.2,W,0,63
286,286,0.2,W,0,64
287,287,0.2,W,0,65
288,288,0.2,W,0,66
289,289,0.2,W,0,67
290,290,0.2,W,0,69
291,291,0.2,W,0,70
292,292,0.2,W,0,70
293,293,0.2,W,0,71
294,294,0.2,W,0,72
295,295,0.2,W,0,74
296,296,0.2,W,0,75
297,297,0.2,W,0,76
298,298,0.2,W,0,191
299,299,0.2,W,0,78
300,300,0.2,W,0,79
301,301,0.2,W,0,80
302,302,0.2,W,0,81
303,303,0.2,W,0,82
304,304,0.2,W,0,83
305,305,0.2,W,0,84
306,306,0.2,W,0,85
307,307,0.2,W,0,86
308,308,0.2,W,0,87
309,309,0.2,W,0,88
310,310,0.2,W,0,89
311,311,0.2,W,0,90
312,312,0.2,W,0,91
313,313,0.2,W,0,92
314,314,0.2,W,0,93
315,315,0.2,W,0,94
316,316,0.2,W,0,95
317,317,0.2,W,0,96
318,318,0.2,W,0,97
319,319,0.2,W,0,98
320,320,0.2,W,0,99
321,321,0.2,W,0,100
322,322,0.2,W,0,101
323,323,0.2,W,0,102
