PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
564,0,0,0,53.05,25.22,0,0,0,0
565,0,0,0,54.05,25.21,0,0,0,0
566,0,0,0,55.05,25.21,0,0,0,0
567,0,0,0,56.05,25.2,0,0,0,0
568,0,0,0,57.05,25.2,0,0,0,0
569,0,0,0,58.05,25.19,0,0,0,0
570,0,0,0,59.05,25.18,0,0,0,0
571,0,0,0,60.05,25.18,0,0,0,0
572,0,0,0,61.05,25.17,0,0,0,0
573,0,0,0,61.91,25.17,0,0,0,0
