DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
150,42.92,151,0,0,0,0,0,0,0
151,43.92,152,0,0,0,0,0,0,0
152,44.92,153,0,0,0,0,0,0,0
153,45.92,154,0,0,0,0,0,0,0
154,46.92,155,0,0,0,0,0,0,0
155,47.92,156,0,0,0,0,0,0,0
156,48.92,157,0,0,0,0,0,0,0
157,49.92,158,0,0,0,0,0,0,0
158,50.45,159,0,0,0,0,0,0,0
159,51.45,160,0,0,0,0,0,0,0
160,52.45,161,0,0,0,0,0,0,0
161,53.45,162,0,0,0,0,0,0,0
162,54.45,163,0,0,0,0,0,0,0
163,55.45,164,0,0,0,0,0,0,0
164,56.45,165,0,0,0,0,0,0,0
165,57.45,166,0,0,0,0,0,0,0
166,58.45,167,0,0,0,0,0,0,0
167,59.45,168,0,0,0,0,0,0,0
168,60.45,169,0,0,0,0,0,0,0
169,61.45,170,0,0,0,0,0,0,0
170,62.45,171,0,0,0,0,0,0,0
171,63.45,172,0,0,0,0,0,0,0
172,64.45,173,0,0,0,0,0,0,0
173,65.45,174,0,0,0,0,0,0,0
174,66.45,175,0,0,0,0,0,0,0
175,67.45,176,0,0,0,0,0,0,0
176,68.45,177,0,0,0,0,0,0,0
177,69.45,178,0,0,0,0,0,0,0
178,70.45,179,0,0,0,0,0,0,0
179,71.45,180,0,0,0,0,0,0,0
180,72.45,181,0,0,0,0,0,0,0
181,73.45,182,0,0,0,0,0,0,0
182,74.45,183,0,0,0,0,0,0,0
183,75.45,184,0,0,0,0,0,0,0
184,76.45,185,0,0,0,0,0,0,0
185,77.45,186,0,0,0,0,0,0,0
186,78.45,187,0,0,0,0,0,0,0
